Date,Predicted Sales
2024-01-31,751
2024-02-29,589
2024-03-31,643
2024-04-30,627
2024-05-31,665
2024-06-30,628
2024-07-31,600
2024-08-31,682
2024-09-30,623
2024-10-31,626
2024-11-30,645
2024-12-31,629
2025-01-31,703
2025-02-28,548
2025-03-31,669
2025-04-30,647
2025-05-31,650
2025-06-30,607
2025-07-31,608
2025-08-31,677
2025-09-30,608
2025-10-31,614
2025-11-30,648
2025-12-31,623
2026-01-31,699
2026-02-28,540
2026-03-31,661
2026-04-30,640
2026-05-31,639
2026-06-30,603
2026-07-31,603
2026-08-31,665
2026-09-30,605
2026-10-31,616
2026-11-30,640
2026-12-31,603
2027-01-31,695
2027-02-28,537
2027-03-31,639
2027-04-30,624
2027-05-31,648
2027-06-30,600
2027-07-31,589
2027-08-31,660
2027-09-30,600
2027-10-31,609
2027-11-30,627
2027-12-31,605
2028-01-31,689
2028-02-29,524
2028-03-31,640
2028-04-30,617
2028-05-31,634
2028-06-30,585
2028-07-31,585
2028-08-31,654
2028-09-30,592
