Date,Predicted Sales
2024-01-31,595
2024-02-29,653
2024-03-31,768
2024-04-30,692
2024-05-31,745
2024-06-30,649
2024-07-31,624
2024-08-31,638
2024-09-30,689
2024-10-31,627
2024-11-30,747
2024-12-31,725
2025-01-31,588
2025-02-28,691
2025-03-31,802
2025-04-30,686
2025-05-31,704
2025-06-30,647
2025-07-31,642
2025-08-31,639
2025-09-30,707
2025-10-31,577
2025-11-30,773
2025-12-31,673
2026-01-31,605
2026-02-28,689
2026-03-31,768
2026-04-30,670
2026-05-31,685
2026-06-30,618
2026-07-31,628
2026-08-31,600
2026-09-30,694
2026-10-31,593
2026-11-30,784
2026-12-31,657
2027-01-31,577
2027-02-28,658
2027-03-31,764
2027-04-30,668
2027-05-31,697
2027-06-30,615
2027-07-31,616
2027-08-31,605
2027-09-30,678
2027-10-31,580
2027-11-30,748
2027-12-31,673
2028-01-31,576
2028-02-29,663
2028-03-31,759
2028-04-30,655
2028-05-31,674
2028-06-30,607
2028-07-31,611
2028-08-31,590
2028-09-30,677
