Date,Predicted Sales
2024-01-31,687
2024-02-29,567
2024-03-31,738
2024-04-30,598
2024-05-31,613
2024-06-30,642
2024-07-31,650
2024-08-31,645
2024-09-30,601
2024-10-31,709
2024-11-30,627
2024-12-31,746
2025-01-31,634
2025-02-28,586
2025-03-31,742
2025-04-30,589
2025-05-31,614
2025-06-30,645
2025-07-31,650
2025-08-31,654
2025-09-30,595
2025-10-31,706
2025-11-30,625
2025-12-31,748
2026-01-31,638
2026-02-28,587
2026-03-31,732
2026-04-30,582
2026-05-31,615
2026-06-30,643
2026-07-31,655
2026-08-31,644
2026-09-30,587
2026-10-31,706
2026-11-30,616
2026-12-31,743
2027-01-31,630
2027-02-28,573
2027-03-31,729
2027-04-30,592
2027-05-31,601
2027-06-30,626
2027-07-31,636
2027-08-31,635
2027-09-30,585
2027-10-31,711
2027-11-30,621
2027-12-31,744
2028-01-31,631
2028-02-29,582
2028-03-31,734
2028-04-30,585
2028-05-31,613
2028-06-30,629
2028-07-31,639
2028-08-31,637
2028-09-30,584
