Date,Predicted Sales
2024-01-31,797
2024-02-29,702
2024-03-31,819
2024-04-30,771
2024-05-31,756
2024-06-30,717
2024-07-31,821
2024-08-31,771
2024-09-30,755
2024-10-31,686
2024-11-30,776
2024-12-31,848
2025-01-31,862
2025-02-28,692
2025-03-31,853
2025-04-30,760
2025-05-31,734
2025-06-30,724
2025-07-31,864
2025-08-31,802
2025-09-30,791
2025-10-31,733
2025-11-30,815
2025-12-31,869
2026-01-31,880
2026-02-28,714
2026-03-31,875
2026-04-30,801
2026-05-31,772
2026-06-30,756
2026-07-31,896
2026-08-31,840
2026-09-30,816
2026-10-31,742
2026-11-30,842
2026-12-31,897
2027-01-31,903
2027-02-28,755
2027-03-31,901
2027-04-30,822
2027-05-31,799
2027-06-30,790
2027-07-31,917
2027-08-31,854
2027-09-30,833
2027-10-31,765
2027-11-30,861
2027-12-31,918
2028-01-31,927
2028-02-29,775
2028-03-31,926
2028-04-30,842
2028-05-31,818
2028-06-30,808
2028-07-31,941
2028-08-31,877
2028-09-30,853
