Date,Predicted Sales
2024-01-31,791
2024-02-29,600
2024-03-31,789
2024-04-30,750
2024-05-31,822
2024-06-30,778
2024-07-31,679
2024-08-31,803
2024-09-30,783
2024-10-31,730
2024-11-30,734
2024-12-31,780
2025-01-31,844
2025-02-28,608
2025-03-31,806
2025-04-30,674
2025-05-31,746
2025-06-30,807
2025-07-31,667
2025-08-31,866
2025-09-30,730
2025-10-31,849
2025-11-30,690
2025-12-31,793
2026-01-31,828
2026-02-28,652
2026-03-31,885
2026-04-30,685
2026-05-31,791
2026-06-30,820
2026-07-31,746
2026-08-31,891
2026-09-30,704
2026-10-31,781
2026-11-30,725
2026-12-31,867
2027-01-31,842
2027-02-28,637
2027-03-31,836
2027-04-30,733
2027-05-31,818
2027-06-30,818
2027-07-31,696
2027-08-31,872
2027-09-30,780
2027-10-31,805
2027-11-30,736
2027-12-31,808
2028-01-31,871
2028-02-29,653
2028-03-31,861
2028-04-30,711
2028-05-31,798
2028-06-30,846
2028-07-31,720
2028-08-31,907
2028-09-30,746
