Date,Predicted Sales
2024-01-31,850
2024-02-29,682
2024-03-31,707
2024-04-30,620
2024-05-31,686
2024-06-30,695
2024-07-31,738
2024-08-31,811
2024-09-30,637
2024-10-31,803
2024-11-30,655
2024-12-31,714
2025-01-31,858
2025-02-28,678
2025-03-31,656
2025-04-30,664
2025-05-31,679
2025-06-30,673
2025-07-31,832
2025-08-31,783
2025-09-30,668
2025-10-31,721
2025-11-30,648
2025-12-31,782
2026-01-31,862
2026-02-28,685
2026-03-31,685
2026-04-30,657
2026-05-31,686
2026-06-30,693
2026-07-31,820
2026-08-31,782
2026-09-30,671
2026-10-31,756
2026-11-30,666
2026-12-31,774
2027-01-31,865
2027-02-28,686
2027-03-31,680
2027-04-30,654
2027-05-31,684
2027-06-30,685
2027-07-31,801
2027-08-31,800
2027-09-30,664
2027-10-31,747
2027-11-30,654
2027-12-31,769
2028-01-31,871
2028-02-29,687
2028-03-31,681
2028-04-30,662
2028-05-31,693
2028-06-30,695
2028-07-31,829
2028-08-31,788
2028-09-30,669
