Date,Predicted Sales
2024-01-31,751
2024-02-29,787
2024-03-31,747
2024-04-30,766
2024-05-31,870
2024-06-30,866
2024-07-31,813
2024-08-31,838
2024-09-30,874
2024-10-31,830
2024-11-30,734
2024-12-31,792
2025-01-31,739
2025-02-28,723
2025-03-31,789
2025-04-30,767
2025-05-31,826
2025-06-30,850
2025-07-31,783
2025-08-31,801
2025-09-30,879
2025-10-31,808
2025-11-30,757
2025-12-31,803
2026-01-31,761
2026-02-28,707
2026-03-31,802
2026-04-30,749
2026-05-31,848
2026-06-30,845
2026-07-31,774
2026-08-31,786
2026-09-30,878
2026-10-31,819
2026-11-30,781
2026-12-31,789
2027-01-31,754
2027-02-28,740
2027-03-31,804
2027-04-30,770
2027-05-31,847
2027-06-30,854
2027-07-31,785
2027-08-31,798
2027-09-30,882
2027-10-31,824
2027-11-30,784
2027-12-31,792
2028-01-31,760
2028-02-29,739
2028-03-31,810
2028-04-30,778
2028-05-31,861
2028-06-30,871
2028-07-31,791
2028-08-31,798
2028-09-30,897
