Date,Predicted Sales
2024-01-31,741
2024-02-29,641
2024-03-31,722
2024-04-30,691
2024-05-31,800
2024-06-30,684
2024-07-31,723
2024-08-31,696
2024-09-30,694
2024-10-31,717
2024-11-30,797
2024-12-31,696
2025-01-31,747
2025-02-28,621
2025-03-31,738
2025-04-30,685
2025-05-31,767
2025-06-30,704
2025-07-31,712
2025-08-31,673
2025-09-30,657
2025-10-31,775
2025-11-30,752
2025-12-31,746
2026-01-31,741
2026-02-28,622
2026-03-31,720
2026-04-30,675
2026-05-31,761
2026-06-30,714
2026-07-31,743
2026-08-31,702
2026-09-30,646
2026-10-31,692
2026-11-30,739
2026-12-31,688
2027-01-31,736
2027-02-28,618
2027-03-31,714
2027-04-30,671
2027-05-31,759
2027-06-30,704
2027-07-31,733
2027-08-31,693
2027-09-30,649
2027-10-31,688
2027-11-30,747
2027-12-31,699
2028-01-31,731
2028-02-29,611
2028-03-31,714
2028-04-30,671
2028-05-31,757
2028-06-30,701
2028-07-31,734
2028-08-31,692
2028-09-30,665
