Date,Predicted Sales
2024-01-31,722
2024-02-29,505
2024-03-31,659
2024-04-30,554
2024-05-31,756
2024-06-30,523
2024-07-31,541
2024-08-31,559
2024-09-30,448
2024-10-31,555
2024-11-30,527
2024-12-31,523
2025-01-31,649
2025-02-28,435
2025-03-31,592
2025-04-30,477
2025-05-31,718
2025-06-30,486
2025-07-31,504
2025-08-31,449
2025-09-30,419
2025-10-31,458
2025-11-30,475
2025-12-31,469
2026-01-31,623
2026-02-28,381
2026-03-31,532
2026-04-30,434
2026-05-31,681
2026-06-30,411
2026-07-31,398
2026-08-31,438
2026-09-30,319
2026-10-31,433
2026-11-30,377
2026-12-31,372
2027-01-31,523
2027-02-28,295
2027-03-31,447
2027-04-30,333
2027-05-31,565
2027-06-30,318
2027-07-31,325
2027-08-31,340
2027-09-30,243
2027-10-31,333
2027-11-30,296
2027-12-31,291
2028-01-31,440
2028-02-29,215
2028-03-31,363
2028-04-30,251
2028-05-31,499
2028-06-30,258
2028-07-31,267
2028-08-31,260
2028-09-30,181
