Date,Predicted Sales
2024-01-31,959
2024-02-29,962
2024-03-31,898
2024-04-30,908
2024-05-31,979
2024-06-30,939
2024-07-31,983
2024-08-31,949
2024-09-30,923
2024-10-31,936
2024-11-30,930
2024-12-31,962
2025-01-31,1055
2025-02-28,997
2025-03-31,933
2025-04-30,972
2025-05-31,1031
2025-06-30,991
2025-07-31,1036
2025-08-31,1005
2025-09-30,968
2025-10-31,973
2025-11-30,968
2025-12-31,1009
2026-01-31,1103
2026-02-28,1036
2026-03-31,960
2026-04-30,1011
2026-05-31,1083
2026-06-30,1044
2026-07-31,1084
2026-08-31,1049
2026-09-30,1019
2026-10-31,1019
2026-11-30,1006
2026-12-31,1049
2027-01-31,1141
2027-02-28,1087
2027-03-31,1014
2027-04-30,1054
2027-05-31,1114
2027-06-30,1085
2027-07-31,1128
2027-08-31,1092
2027-09-30,1062
2027-10-31,1060
2027-11-30,1054
2027-12-31,1080
2028-01-31,1186
2028-02-29,1125
2028-03-31,1052
2028-04-30,1093
2028-05-31,1166
2028-06-30,1128
2028-07-31,1162
2028-08-31,1123
2028-09-30,1098
