Date,Predicted Sales
2024-01-31,738
2024-02-29,648
2024-03-31,824
2024-04-30,699
2024-05-31,677
2024-06-30,651
2024-07-31,750
2024-08-31,693
2024-09-30,818
2024-10-31,875
2024-11-30,663
2024-12-31,608
2025-01-31,742
2025-02-28,623
2025-03-31,767
2025-04-30,667
2025-05-31,674
2025-06-30,644
2025-07-31,768
2025-08-31,690
2025-09-30,802
2025-10-31,810
2025-11-30,690
2025-12-31,652
2026-01-31,708
2026-02-28,590
2026-03-31,778
2026-04-30,721
2026-05-31,676
2026-06-30,637
2026-07-31,740
2026-08-31,665
2026-09-30,823
2026-10-31,836
2026-11-30,667
2026-12-31,617
2027-01-31,703
2027-02-28,595
2027-03-31,772
2027-04-30,689
2027-05-31,664
2027-06-30,628
2027-07-31,725
2027-08-31,658
2027-09-30,818
2027-10-31,838
2027-11-30,653
2027-12-31,601
2028-01-31,699
2028-02-29,594
2028-03-31,764
2028-04-30,671
2028-05-31,653
2028-06-30,617
2028-07-31,718
2028-08-31,656
2028-09-30,802
