Date,Predicted Sales
2024-01-31,818
2024-02-29,838
2024-03-31,857
2024-04-30,864
2024-05-31,851
2024-06-30,891
2024-07-31,841
2024-08-31,919
2024-09-30,779
2024-10-31,779
2024-11-30,816
2024-12-31,974
2025-01-31,957
2025-02-28,887
2025-03-31,928
2025-04-30,884
2025-05-31,871
2025-06-30,870
2025-07-31,840
2025-08-31,925
2025-09-30,849
2025-10-31,875
2025-11-30,904
2025-12-31,961
2026-01-31,980
2026-02-28,884
2026-03-31,987
2026-04-30,902
2026-05-31,900
2026-06-30,870
2026-07-31,874
2026-08-31,980
2026-09-30,898
2026-10-31,850
2026-11-30,923
2026-12-31,1073
2027-01-31,1024
2027-02-28,990
2027-03-31,1052
2027-04-30,1013
2027-05-31,998
2027-06-30,1009
2027-07-31,983
2027-08-31,1059
2027-09-30,950
2027-10-31,952
2027-11-30,999
2027-12-31,1127
2028-01-31,1114
2028-02-29,1049
2028-03-31,1126
2028-04-30,1068
2028-05-31,1057
2028-06-30,1044
2028-07-31,1019
2028-08-31,1113
2028-09-30,1025
