Date,Predicted Sales
2024-01-31,622
2024-02-29,711
2024-03-31,652
2024-04-30,815
2024-05-31,644
2024-06-30,733
2024-07-31,726
2024-08-31,696
2024-09-30,665
2024-10-31,683
2024-11-30,623
2024-12-31,728
2025-01-31,643
2025-02-28,694
2025-03-31,652
2025-04-30,884
2025-05-31,649
2025-06-30,766
2025-07-31,705
2025-08-31,681
2025-09-30,669
2025-10-31,701
2025-11-30,616
2025-12-31,725
2026-01-31,587
2026-02-28,687
2026-03-31,641
2026-04-30,880
2026-05-31,640
2026-06-30,754
2026-07-31,698
2026-08-31,679
2026-09-30,657
2026-10-31,696
2026-11-30,609
2026-12-31,720
2027-01-31,585
2027-02-28,688
2027-03-31,630
2027-04-30,867
2027-05-31,641
2027-06-30,753
2027-07-31,691
2027-08-31,678
2027-09-30,658
2027-10-31,693
2027-11-30,605
2027-12-31,712
2028-01-31,582
2028-02-29,688
2028-03-31,637
2028-04-30,871
2028-05-31,635
2028-06-30,747
2028-07-31,688
2028-08-31,673
2028-09-30,656
