Date,Predicted Sales
2024-01-31,1479
2024-02-29,1422
2024-03-31,1521
2024-04-30,1585
2024-05-31,1635
2024-06-30,1541
2024-07-31,1359
2024-08-31,1394
2024-09-30,1421
2024-10-31,1477
2024-11-30,1383
2024-12-31,1550
2025-01-31,1520
2025-02-28,1427
2025-03-31,1556
2025-04-30,1519
2025-05-31,1631
2025-06-30,1577
2025-07-31,1419
2025-08-31,1460
2025-09-30,1516
2025-10-31,1554
2025-11-30,1377
2025-12-31,1584
2026-01-31,1487
2026-02-28,1450
2026-03-31,1563
2026-04-30,1640
2026-05-31,1702
2026-06-30,1592
2026-07-31,1458
2026-08-31,1436
2026-09-30,1545
2026-10-31,1516
2026-11-30,1404
2026-12-31,1589
2027-01-31,1518
2027-02-28,1464
2027-03-31,1569
2027-04-30,1612
2027-05-31,1686
2027-06-30,1586
2027-07-31,1432
2027-08-31,1449
2027-09-30,1518
2027-10-31,1541
2027-11-30,1419
2027-12-31,1598
2028-01-31,1528
2028-02-29,1452
2028-03-31,1565
2028-04-30,1611
2028-05-31,1699
2028-06-30,1605
2028-07-31,1455
2028-08-31,1477
2028-09-30,1554
