Date,Predicted Sales
2024-01-31,658
2024-02-29,644
2024-03-31,675
2024-04-30,734
2024-05-31,685
2024-06-30,718
2024-07-31,719
2024-08-31,678
2024-09-30,714
2024-10-31,727
2024-11-30,709
2024-12-31,731
2025-01-31,645
2025-02-28,645
2025-03-31,682
2025-04-30,733
2025-05-31,684
2025-06-30,705
2025-07-31,714
2025-08-31,670
2025-09-30,709
2025-10-31,726
2025-11-30,707
2025-12-31,727
2026-01-31,657
2026-02-28,644
2026-03-31,682
2026-04-30,732
2026-05-31,684
2026-06-30,718
2026-07-31,720
2026-08-31,676
2026-09-30,714
2026-10-31,726
2026-11-30,709
2026-12-31,735
2027-01-31,658
2027-02-28,645
2027-03-31,682
2027-04-30,732
2027-05-31,675
2027-06-30,718
2027-07-31,716
2027-08-31,666
2027-09-30,715
2027-10-31,727
2027-11-30,714
2027-12-31,735
2028-01-31,659
2028-02-29,642
2028-03-31,682
2028-04-30,732
2028-05-31,684
2028-06-30,717
2028-07-31,721
2028-08-31,677
2028-09-30,716
