Date,Predicted Sales
2024-01-31,704
2024-02-29,748
2024-03-31,766
2024-04-30,715
2024-05-31,778
2024-06-30,799
2024-07-31,704
2024-08-31,827
2024-09-30,858
2024-10-31,677
2024-11-30,774
2024-12-31,743
2025-01-31,694
2025-02-28,713
2025-03-31,821
2025-04-30,721
2025-05-31,733
2025-06-30,772
2025-07-31,697
2025-08-31,869
2025-09-30,881
2025-10-31,680
2025-11-30,817
2025-12-31,757
2026-01-31,713
2026-02-28,739
2026-03-31,839
2026-04-30,720
2026-05-31,760
2026-06-30,776
2026-07-31,714
2026-08-31,904
2026-09-30,860
2026-10-31,696
2026-11-30,822
2026-12-31,761
2027-01-31,728
2027-02-28,759
2027-03-31,833
2027-04-30,740
2027-05-31,778
2027-06-30,802
2027-07-31,736
2027-08-31,889
2027-09-30,884
2027-10-31,718
2027-11-30,826
2027-12-31,775
2028-01-31,736
2028-02-29,762
2028-03-31,846
2028-04-30,752
2028-05-31,778
2028-06-30,809
2028-07-31,744
2028-08-31,900
2028-09-30,899
