Date,Predicted Sales
2024-01-31,486
2024-02-29,509
2024-03-31,569
2024-04-30,597
2024-05-31,492
2024-06-30,662
2024-07-31,651
2024-08-31,506
2024-09-30,502
2024-10-31,532
2024-11-30,591
2024-12-31,546
2025-01-31,542
2025-02-28,349
2025-03-31,499
2025-04-30,534
2025-05-31,481
2025-06-30,591
2025-07-31,620
2025-08-31,431
2025-09-30,441
2025-10-31,463
2025-11-30,435
2025-12-31,455
2026-01-31,393
2026-02-28,281
2026-03-31,398
2026-04-30,431
2026-05-31,366
2026-06-30,484
2026-07-31,505
2026-08-31,317
2026-09-30,325
2026-10-31,349
2026-11-30,349
2026-12-31,356
2027-01-31,302
2027-02-28,170
2027-03-31,294
2027-04-30,320
2027-05-31,256
2027-06-30,386
2027-07-31,403
2027-08-31,229
2027-09-30,234
2027-10-31,257
2027-11-30,264
2027-12-31,269
2028-01-31,226
2028-02-29,81
2028-03-31,206
2028-04-30,235
2028-05-31,174
2028-06-30,294
2028-07-31,319
2028-08-31,138
2028-09-30,153
