Date,Predicted Sales
2024-01-31,835
2024-02-29,724
2024-03-31,807
2024-04-30,714
2024-05-31,889
2024-06-30,666
2024-07-31,846
2024-08-31,815
2024-09-30,795
2024-10-31,864
2024-11-30,815
2024-12-31,730
2025-01-31,710
2025-02-28,767
2025-03-31,877
2025-04-30,693
2025-05-31,838
2025-06-30,850
2025-07-31,802
2025-08-31,912
2025-09-30,865
2025-10-31,839
2025-11-30,829
2025-12-31,757
2026-01-31,750
2026-02-28,692
2026-03-31,900
2026-04-30,761
2026-05-31,878
2026-06-30,879
2026-07-31,779
2026-08-31,887
2026-09-30,818
2026-10-31,812
2026-11-30,851
2026-12-31,793
2027-01-31,817
2027-02-28,776
2027-03-31,880
2027-04-30,744
2027-05-31,892
2027-06-30,800
2027-07-31,859
2027-08-31,908
2027-09-30,878
2027-10-31,885
2027-11-30,860
2027-12-31,780
2028-01-31,778
2028-02-29,759
2028-03-31,910
2028-04-30,769
2028-05-31,896
2028-06-30,901
2028-07-31,831
2028-08-31,925
2028-09-30,878
