Date,Predicted Sales
2024-01-31,691
2024-02-29,587
2024-03-31,654
2024-04-30,739
2024-05-31,657
2024-06-30,650
2024-07-31,658
2024-08-31,734
2024-09-30,712
2024-10-31,796
2024-11-30,750
2024-12-31,762
2025-01-31,661
2025-02-28,619
2025-03-31,660
2025-04-30,737
2025-05-31,573
2025-06-30,693
2025-07-31,699
2025-08-31,763
2025-09-30,686
2025-10-31,737
2025-11-30,764
2025-12-31,792
2026-01-31,647
2026-02-28,625
2026-03-31,686
2026-04-30,792
2026-05-31,595
2026-06-30,713
2026-07-31,706
2026-08-31,780
2026-09-30,670
2026-10-31,740
2026-11-30,747
2026-12-31,828
2027-01-31,674
2027-02-28,625
2027-03-31,678
2027-04-30,774
2027-05-31,610
2027-06-30,692
2027-07-31,690
2027-08-31,760
2027-09-30,692
2027-10-31,765
2027-11-30,763
2027-12-31,797
2028-01-31,656
2028-02-29,631
2028-03-31,672
2028-04-30,769
2028-05-31,594
2028-06-30,710
2028-07-31,706
2028-08-31,775
2028-09-30,683
