Date,Predicted Sales
2024-01-31,838
2024-02-29,705
2024-03-31,823
2024-04-30,805
2024-05-31,760
2024-06-30,819
2024-07-31,841
2024-08-31,764
2024-09-30,755
2024-10-31,775
2024-11-30,774
2024-12-31,812
2025-01-31,854
2025-02-28,692
2025-03-31,760
2025-04-30,841
2025-05-31,727
2025-06-30,826
2025-07-31,810
2025-08-31,784
2025-09-30,763
2025-10-31,847
2025-11-30,727
2025-12-31,834
2026-01-31,891
2026-02-28,748
2026-03-31,827
2026-04-30,868
2026-05-31,805
2026-06-30,868
2026-07-31,890
2026-08-31,863
2026-09-30,740
2026-10-31,831
2026-11-30,755
2026-12-31,894
2027-01-31,898
2027-02-28,760
2027-03-31,852
2027-04-30,877
2027-05-31,817
2027-06-30,881
2027-07-31,892
2027-08-31,845
2027-09-30,795
2027-10-31,854
2027-11-30,804
2027-12-31,887
2028-01-31,918
2028-02-29,767
2028-03-31,841
2028-04-30,904
2028-05-31,831
2028-06-30,904
2028-07-31,892
2028-08-31,865
2028-09-30,811
