Date,Predicted Sales
2024-01-31,802
2024-02-29,752
2024-03-31,795
2024-04-30,755
2024-05-31,834
2024-06-30,794
2024-07-31,804
2024-08-31,723
2024-09-30,750
2024-10-31,705
2024-11-30,721
2024-12-31,699
2025-01-31,790
2025-02-28,784
2025-03-31,804
2025-04-30,779
2025-05-31,820
2025-06-30,766
2025-07-31,795
2025-08-31,725
2025-09-30,753
2025-10-31,734
2025-11-30,681
2025-12-31,700
2026-01-31,795
2026-02-28,803
2026-03-31,786
2026-04-30,795
2026-05-31,842
2026-06-30,789
2026-07-31,824
2026-08-31,739
2026-09-30,759
2026-10-31,720
2026-11-30,682
2026-12-31,722
2027-01-31,790
2027-02-28,788
2027-03-31,797
2027-04-30,791
2027-05-31,848
2027-06-30,795
2027-07-31,819
2027-08-31,740
2027-09-30,761
2027-10-31,727
2027-11-30,688
2027-12-31,725
2028-01-31,791
2028-02-29,793
2028-03-31,801
2028-04-30,797
2028-05-31,849
2028-06-30,795
2028-07-31,824
2028-08-31,745
2028-09-30,765
