Date,Predicted Sales
2024-01-31,760
2024-02-29,523
2024-03-31,735
2024-04-30,651
2024-05-31,700
2024-06-30,549
2024-07-31,730
2024-08-31,792
2024-09-30,684
2024-10-31,754
2024-11-30,702
2024-12-31,615
2025-01-31,760
2025-02-28,560
2025-03-31,708
2025-04-30,696
2025-05-31,668
2025-06-30,538
2025-07-31,794
2025-08-31,719
2025-09-30,709
2025-10-31,722
2025-11-30,682
2025-12-31,651
2026-01-31,756
2026-02-28,556
2026-03-31,711
2026-04-30,693
2026-05-31,654
2026-06-30,540
2026-07-31,771
2026-08-31,686
2026-09-30,677
2026-10-31,749
2026-11-30,653
2026-12-31,627
2027-01-31,733
2027-02-28,531
2027-03-31,695
2027-04-30,657
2027-05-31,649
2027-06-30,520
2027-07-31,743
2027-08-31,711
2027-09-30,663
2027-10-31,718
2027-11-30,653
2027-12-31,606
2028-01-31,720
2028-02-29,521
2028-03-31,680
2028-04-30,656
2028-05-31,637
2028-06-30,507
2028-07-31,747
2028-08-31,695
2028-09-30,658
