Date,Predicted Sales
2024-01-31,828
2024-02-29,726
2024-03-31,805
2024-04-30,785
2024-05-31,808
2024-06-30,797
2024-07-31,837
2024-08-31,824
2024-09-30,795
2024-10-31,841
2024-11-30,827
2024-12-31,825
2025-01-31,837
2025-02-28,755
2025-03-31,818
2025-04-30,811
2025-05-31,831
2025-06-30,822
2025-07-31,857
2025-08-31,845
2025-09-30,816
2025-10-31,859
2025-11-30,849
2025-12-31,849
2026-01-31,863
2026-02-28,776
2026-03-31,839
2026-04-30,834
2026-05-31,855
2026-06-30,847
2026-07-31,880
2026-08-31,872
2026-09-30,842
2026-10-31,881
2026-11-30,872
2026-12-31,874
2027-01-31,880
2027-02-28,800
2027-03-31,860
2027-04-30,856
2027-05-31,874
2027-06-30,862
2027-07-31,904
2027-08-31,894
2027-09-30,860
2027-10-31,909
2027-11-30,907
2027-12-31,893
2028-01-31,907
2028-02-29,827
2028-03-31,883
2028-04-30,876
2028-05-31,902
2028-06-30,894
2028-07-31,924
2028-08-31,915
2028-09-30,887
