Date,Predicted Sales
2024-01-31,477
2024-02-29,626
2024-03-31,603
2024-04-30,693
2024-05-31,560
2024-06-30,633
2024-07-31,605
2024-08-31,593
2024-09-30,543
2024-10-31,613
2024-11-30,577
2024-12-31,593
2025-01-31,426
2025-02-28,594
2025-03-31,560
2025-04-30,638
2025-05-31,529
2025-06-30,602
2025-07-31,557
2025-08-31,539
2025-09-30,491
2025-10-31,568
2025-11-30,534
2025-12-31,549
2026-01-31,384
2026-02-28,553
2026-03-31,517
2026-04-30,575
2026-05-31,475
2026-06-30,556
2026-07-31,506
2026-08-31,493
2026-09-30,450
2026-10-31,527
2026-11-30,488
2026-12-31,503
2027-01-31,340
2027-02-28,509
2027-03-31,468
2027-04-30,529
2027-05-31,435
2027-06-30,508
2027-07-31,459
2027-08-31,450
2027-09-30,407
2027-10-31,484
2027-11-30,454
2027-12-31,463
2028-01-31,292
2028-02-29,457
2028-03-31,431
2028-04-30,484
2028-05-31,391
2028-06-30,472
2028-07-31,420
2028-08-31,407
2028-09-30,361
