Date,Predicted Sales
2024-01-31,676
2024-02-29,548
2024-03-31,765
2024-04-30,573
2024-05-31,638
2024-06-30,674
2024-07-31,600
2024-08-31,637
2024-09-30,641
2024-10-31,674
2024-11-30,623
2024-12-31,688
2025-01-31,669
2025-02-28,492
2025-03-31,749
2025-04-30,553
2025-05-31,677
2025-06-30,671
2025-07-31,606
2025-08-31,602
2025-09-30,604
2025-10-31,650
2025-11-30,594
2025-12-31,664
2026-01-31,634
2026-02-28,472
2026-03-31,741
2026-04-30,532
2026-05-31,626
2026-06-30,649
2026-07-31,584
2026-08-31,590
2026-09-30,604
2026-10-31,625
2026-11-30,570
2026-12-31,647
2027-01-31,617
2027-02-28,459
2027-03-31,706
2027-04-30,507
2027-05-31,602
2027-06-30,622
2027-07-31,554
2027-08-31,561
2027-09-30,567
2027-10-31,606
2027-11-30,550
2027-12-31,622
2028-01-31,593
2028-02-29,428
2028-03-31,688
2028-04-30,484
2028-05-31,583
2028-06-30,604
2028-07-31,539
2028-08-31,542
2028-09-30,548
