Date,Predicted Sales
2024-01-31,1389
2024-02-29,1442
2024-03-31,1272
2024-04-30,1167
2024-05-31,1398
2024-06-30,1313
2024-07-31,1373
2024-08-31,1383
2024-09-30,1112
2024-10-31,1398
2024-11-30,1327
2024-12-31,1340
2025-01-31,1376
2025-02-28,1359
2025-03-31,1268
2025-04-30,1168
2025-05-31,1363
2025-06-30,1311
2025-07-31,1324
2025-08-31,1329
2025-09-30,1076
2025-10-31,1385
2025-11-30,1302
2025-12-31,1353
2026-01-31,1326
2026-02-28,1364
2026-03-31,1215
2026-04-30,1135
2026-05-31,1318
2026-06-30,1295
2026-07-31,1341
2026-08-31,1324
2026-09-30,1028
2026-10-31,1337
2026-11-30,1293
2026-12-31,1316
2027-01-31,1322
2027-02-28,1340
2027-03-31,1207
2027-04-30,1112
2027-05-31,1326
2027-06-30,1257
2027-07-31,1294
2027-08-31,1287
2027-09-30,1024
2027-10-31,1322
2027-11-30,1255
2027-12-31,1297
2028-01-31,1289
2028-02-29,1303
2028-03-31,1166
2028-04-30,1082
2028-05-31,1287
2028-06-30,1250
2028-07-31,1279
2028-08-31,1258
2028-09-30,981
