Date,Predicted Sales
2024-01-31,581
2024-02-29,602
2024-03-31,807
2024-04-30,513
2024-05-31,713
2024-06-30,754
2024-07-31,679
2024-08-31,657
2024-09-30,668
2024-10-31,628
2024-11-30,730
2024-12-31,706
2025-01-31,586
2025-02-28,613
2025-03-31,698
2025-04-30,565
2025-05-31,711
2025-06-30,767
2025-07-31,740
2025-08-31,744
2025-09-30,706
2025-10-31,701
2025-11-30,720
2025-12-31,811
2026-01-31,625
2026-02-28,584
2026-03-31,833
2026-04-30,513
2026-05-31,651
2026-06-30,703
2026-07-31,717
2026-08-31,716
2026-09-30,725
2026-10-31,654
2026-11-30,638
2026-12-31,755
2027-01-31,563
2027-02-28,570
2027-03-31,764
2027-04-30,488
2027-05-31,656
2027-06-30,700
2027-07-31,667
2027-08-31,655
2027-09-30,654
2027-10-31,612
2027-11-30,664
2027-12-31,707
2028-01-31,552
2028-02-29,561
2028-03-31,716
2028-04-30,499
2028-05-31,645
2028-06-30,692
2028-07-31,677
2028-08-31,673
2028-09-30,661
