Date,Predicted Sales
2024-01-31,796
2024-02-29,672
2024-03-31,750
2024-04-30,674
2024-05-31,689
2024-06-30,779
2024-07-31,568
2024-08-31,767
2024-09-30,762
2024-10-31,795
2024-11-30,707
2024-12-31,724
2025-01-31,756
2025-02-28,619
2025-03-31,710
2025-04-30,734
2025-05-31,745
2025-06-30,751
2025-07-31,740
2025-08-31,787
2025-09-30,783
2025-10-31,785
2025-11-30,729
2025-12-31,778
2026-01-31,760
2026-02-28,639
2026-03-31,756
2026-04-30,717
2026-05-31,700
2026-06-30,656
2026-07-31,630
2026-08-31,760
2026-09-30,732
2026-10-31,827
2026-11-30,731
2026-12-31,791
2027-01-31,807
2027-02-28,682
2027-03-31,767
2027-04-30,720
2027-05-31,726
2027-06-30,755
2027-07-31,640
2027-08-31,789
2027-09-30,774
2027-10-31,829
2027-11-30,743
2027-12-31,770
2028-01-31,797
2028-02-29,668
2028-03-31,761
2028-04-30,754
2028-05-31,760
2028-06-30,765
2028-07-31,714
2028-08-31,808
2028-09-30,794
