Date,Predicted Sales
2024-01-31,592
2024-02-29,596
2024-03-31,611
2024-04-30,624
2024-05-31,587
2024-06-30,627
2024-07-31,631
2024-08-31,631
2024-09-30,612
2024-10-31,629
2024-11-30,661
2024-12-31,637
2025-01-31,651
2025-02-28,595
2025-03-31,620
2025-04-30,680
2025-05-31,611
2025-06-30,590
2025-07-31,599
2025-08-31,666
2025-09-30,630
2025-10-31,595
2025-11-30,632
2025-12-31,649
2026-01-31,612
2026-02-28,569
2026-03-31,603
2026-04-30,654
2026-05-31,581
2026-06-30,582
2026-07-31,593
2026-08-31,637
2026-09-30,608
2026-10-31,588
2026-11-30,629
2026-12-31,632
2027-01-31,609
2027-02-28,559
2027-03-31,583
2027-04-30,640
2027-05-31,572
2027-06-30,568
2027-07-31,585
2027-08-31,632
2027-09-30,592
2027-10-31,566
2027-11-30,612
2027-12-31,612
2028-01-31,588
2028-02-29,543
2028-03-31,577
2028-04-30,634
2028-05-31,555
2028-06-30,556
2028-07-31,567
2028-08-31,617
2028-09-30,576
