Date,Predicted Sales
2024-01-31,787
2024-02-29,701
2024-03-31,617
2024-04-30,567
2024-05-31,667
2024-06-30,682
2024-07-31,805
2024-08-31,648
2024-09-30,712
2024-10-31,728
2024-11-30,586
2024-12-31,715
2025-01-31,808
2025-02-28,632
2025-03-31,571
2025-04-30,618
2025-05-31,689
2025-06-30,651
2025-07-31,730
2025-08-31,683
2025-09-30,707
2025-10-31,713
2025-11-30,551
2025-12-31,637
2026-01-31,775
2026-02-28,663
2026-03-31,586
2026-04-30,556
2026-05-31,682
2026-06-30,713
2026-07-31,706
2026-08-31,682
2026-09-30,669
2026-10-31,721
2026-11-30,536
2026-12-31,650
2027-01-31,748
2027-02-28,639
2027-03-31,569
2027-04-30,552
2027-05-31,644
2027-06-30,664
2027-07-31,715
2027-08-31,654
2027-09-30,663
2027-10-31,675
2027-11-30,520
2027-12-31,641
2028-01-31,748
2028-02-29,616
2028-03-31,543
2028-04-30,555
2028-05-31,641
2028-06-30,647
2028-07-31,686
2028-08-31,647
2028-09-30,652
