Date,Predicted Sales
2024-01-31,595
2024-02-29,513
2024-03-31,698
2024-04-30,671
2024-05-31,542
2024-06-30,601
2024-07-31,587
2024-08-31,577
2024-09-30,569
2024-10-31,680
2024-11-30,609
2024-12-31,627
2025-01-31,580
2025-02-28,486
2025-03-31,668
2025-04-30,625
2025-05-31,530
2025-06-30,588
2025-07-31,549
2025-08-31,558
2025-09-30,538
2025-10-31,622
2025-11-30,582
2025-12-31,596
2026-01-31,553
2026-02-28,462
2026-03-31,639
2026-04-30,600
2026-05-31,493
2026-06-30,557
2026-07-31,530
2026-08-31,522
2026-09-30,511
2026-10-31,592
2026-11-30,552
2026-12-31,568
2027-01-31,524
2027-02-28,434
2027-03-31,606
2027-04-30,569
2027-05-31,467
2027-06-30,528
2027-07-31,499
2027-08-31,497
2027-09-30,486
2027-10-31,568
2027-11-30,528
2027-12-31,542
2028-01-31,499
2028-02-29,408
2028-03-31,580
2028-04-30,548
2028-05-31,444
2028-06-30,503
2028-07-31,474
2028-08-31,467
2028-09-30,470
