Date,Predicted Sales
2024-01-31,870
2024-02-29,766
2024-03-31,819
2024-04-30,834
2024-05-31,808
2024-06-30,843
2024-07-31,857
2024-08-31,783
2024-09-30,807
2024-10-31,752
2024-11-30,828
2024-12-31,829
2025-01-31,847
2025-02-28,828
2025-03-31,911
2025-04-30,870
2025-05-31,853
2025-06-30,866
2025-07-31,892
2025-08-31,893
2025-09-30,807
2025-10-31,795
2025-11-30,866
2025-12-31,858
2026-01-31,892
2026-02-28,825
2026-03-31,930
2026-04-30,912
2026-05-31,889
2026-06-30,918
2026-07-31,981
2026-08-31,921
2026-09-30,864
2026-10-31,788
2026-11-30,924
2026-12-31,924
2027-01-31,949
2027-02-28,886
2027-03-31,963
2027-04-30,950
2027-05-31,933
2027-06-30,956
2027-07-31,986
2027-08-31,942
2027-09-30,905
2027-10-31,856
2027-11-30,951
2027-12-31,947
2028-01-31,972
2028-02-29,921
2028-03-31,1011
2028-04-30,986
2028-05-31,967
2028-06-30,991
2028-07-31,1033
2028-08-31,996
2028-09-30,932
