Date,Predicted Sales
2024-01-31,755
2024-02-29,633
2024-03-31,682
2024-04-30,666
2024-05-31,753
2024-06-30,672
2024-07-31,755
2024-08-31,669
2024-09-30,631
2024-10-31,761
2024-11-30,588
2024-12-31,698
2025-01-31,734
2025-02-28,619
2025-03-31,698
2025-04-30,685
2025-05-31,805
2025-06-30,614
2025-07-31,750
2025-08-31,665
2025-09-30,680
2025-10-31,808
2025-11-30,570
2025-12-31,715
2026-01-31,721
2026-02-28,636
2026-03-31,684
2026-04-30,691
2026-05-31,821
2026-06-30,610
2026-07-31,741
2026-08-31,660
2026-09-30,704
2026-10-31,790
2026-11-30,546
2026-12-31,721
2027-01-31,722
2027-02-28,621
2027-03-31,682
2027-04-30,674
2027-05-31,782
2027-06-30,615
2027-07-31,738
2027-08-31,659
2027-09-30,670
2027-10-31,770
2027-11-30,545
2027-12-31,695
2028-01-31,716
2028-02-29,608
2028-03-31,682
2028-04-30,673
2028-05-31,783
2028-06-30,598
2028-07-31,733
2028-08-31,656
2028-09-30,669
