Date,Predicted Sales
2024-01-31,718
2024-02-29,618
2024-03-31,869
2024-04-30,663
2024-05-31,556
2024-06-30,665
2024-07-31,748
2024-08-31,828
2024-09-30,776
2024-10-31,715
2024-11-30,644
2024-12-31,718
2025-01-31,710
2025-02-28,634
2025-03-31,879
2025-04-30,672
2025-05-31,568
2025-06-30,654
2025-07-31,696
2025-08-31,817
2025-09-30,780
2025-10-31,709
2025-11-30,622
2025-12-31,713
2026-01-31,683
2026-02-28,651
2026-03-31,888
2026-04-30,635
2026-05-31,539
2026-06-30,658
2026-07-31,727
2026-08-31,816
2026-09-30,777
2026-10-31,696
2026-11-30,597
2026-12-31,725
2027-01-31,694
2027-02-28,648
2027-03-31,883
2027-04-30,637
2027-05-31,539
2027-06-30,654
2027-07-31,724
2027-08-31,816
2027-09-30,770
2027-10-31,698
2027-11-30,606
2027-12-31,714
2028-01-31,693
2028-02-29,647
2028-03-31,878
2028-04-30,631
2028-05-31,542
2028-06-30,652
2028-07-31,719
2028-08-31,816
2028-09-30,766
