Date,Predicted Sales
2024-01-31,720
2024-02-29,635
2024-03-31,702
2024-04-30,650
2024-05-31,680
2024-06-30,704
2024-07-31,662
2024-08-31,599
2024-09-30,578
2024-10-31,651
2024-11-30,566
2024-12-31,672
2025-01-31,775
2025-02-28,586
2025-03-31,659
2025-04-30,633
2025-05-31,685
2025-06-30,605
2025-07-31,680
2025-08-31,609
2025-09-30,583
2025-10-31,634
2025-11-30,607
2025-12-31,606
2026-01-31,761
2026-02-28,588
2026-03-31,646
2026-04-30,664
2026-05-31,714
2026-06-30,596
2026-07-31,702
2026-08-31,520
2026-09-30,530
2026-10-31,594
2026-11-30,580
2026-12-31,618
2027-01-31,698
2027-02-28,554
2027-03-31,624
2027-04-30,593
2027-05-31,635
2027-06-30,598
2027-07-31,633
2027-08-31,528
2027-09-30,510
2027-10-31,577
2027-11-30,535
2027-12-31,589
2028-01-31,695
2028-02-29,525
2028-03-31,596
2028-04-30,578
2028-05-31,632
2028-06-30,552
2028-07-31,623
2028-08-31,510
2028-09-30,500
