Date,Predicted Sales
2024-01-31,688
2024-02-29,608
2024-03-31,739
2024-04-30,673
2024-05-31,679
2024-06-30,666
2024-07-31,759
2024-08-31,594
2024-09-30,669
2024-10-31,653
2024-11-30,592
2024-12-31,625
2025-01-31,631
2025-02-28,598
2025-03-31,705
2025-04-30,662
2025-05-31,678
2025-06-30,649
2025-07-31,717
2025-08-31,593
2025-09-30,652
2025-10-31,643
2025-11-30,559
2025-12-31,573
2026-01-31,603
2026-02-28,556
2026-03-31,652
2026-04-30,639
2026-05-31,636
2026-06-30,631
2026-07-31,700
2026-08-31,578
2026-09-30,633
2026-10-31,616
2026-11-30,524
2026-12-31,548
2027-01-31,565
2027-02-28,518
2027-03-31,636
2027-04-30,598
2027-05-31,610
2027-06-30,590
2027-07-31,663
2027-08-31,530
2027-09-30,588
2027-10-31,578
2027-11-30,497
2027-12-31,517
2028-01-31,532
2028-02-29,490
2028-03-31,592
2028-04-30,565
2028-05-31,570
2028-06-30,557
2028-07-31,627
2028-08-31,502
2028-09-30,562
