Date,Predicted Sales
2024-01-31,774
2024-02-29,794
2024-03-31,810
2024-04-30,770
2024-05-31,804
2024-06-30,772
2024-07-31,732
2024-08-31,853
2024-09-30,778
2024-10-31,687
2024-11-30,768
2024-12-31,635
2025-01-31,743
2025-02-28,759
2025-03-31,782
2025-04-30,834
2025-05-31,747
2025-06-30,772
2025-07-31,761
2025-08-31,865
2025-09-30,791
2025-10-31,696
2025-11-30,783
2025-12-31,648
2026-01-31,752
2026-02-28,792
2026-03-31,797
2026-04-30,841
2026-05-31,760
2026-06-30,781
2026-07-31,771
2026-08-31,874
2026-09-30,812
2026-10-31,705
2026-11-30,799
2026-12-31,661
2027-01-31,764
2027-02-28,809
2027-03-31,801
2027-04-30,856
2027-05-31,771
2027-06-30,795
2027-07-31,783
2027-08-31,886
2027-09-30,823
2027-10-31,718
2027-11-30,809
2027-12-31,675
2028-01-31,771
2028-02-29,825
2028-03-31,814
2028-04-30,865
2028-05-31,782
2028-06-30,811
2028-07-31,792
2028-08-31,897
2028-09-30,835
