Date,Predicted Sales
2024-01-31,685
2024-02-29,586
2024-03-31,657
2024-04-30,748
2024-05-31,606
2024-06-30,776
2024-07-31,673
2024-08-31,803
2024-09-30,607
2024-10-31,769
2024-11-30,578
2024-12-31,641
2025-01-31,681
2025-02-28,572
2025-03-31,657
2025-04-30,732
2025-05-31,594
2025-06-30,746
2025-07-31,673
2025-08-31,810
2025-09-30,604
2025-10-31,769
2025-11-30,578
2025-12-31,629
2026-01-31,670
2026-02-28,575
2026-03-31,631
2026-04-30,721
2026-05-31,573
2026-06-30,755
2026-07-31,661
2026-08-31,793
2026-09-30,597
2026-10-31,762
2026-11-30,561
2026-12-31,619
2027-01-31,660
2027-02-28,562
2027-03-31,615
2027-04-30,707
2027-05-31,562
2027-06-30,750
2027-07-31,650
2027-08-31,783
2027-09-30,585
2027-10-31,751
2027-11-30,560
2027-12-31,611
2028-01-31,651
2028-02-29,557
2028-03-31,608
2028-04-30,701
2028-05-31,553
2028-06-30,739
2028-07-31,643
2028-08-31,774
2028-09-30,576
