Date,Predicted Sales
2024-01-31,838
2024-02-29,786
2024-03-31,740
2024-04-30,802
2024-05-31,847
2024-06-30,757
2024-07-31,810
2024-08-31,727
2024-09-30,742
2024-10-31,789
2024-11-30,783
2024-12-31,805
2025-01-31,864
2025-02-28,783
2025-03-31,764
2025-04-30,801
2025-05-31,849
2025-06-30,764
2025-07-31,827
2025-08-31,736
2025-09-30,751
2025-10-31,800
2025-11-30,790
2025-12-31,818
2026-01-31,869
2026-02-28,787
2026-03-31,772
2026-04-30,810
2026-05-31,867
2026-06-30,763
2026-07-31,846
2026-08-31,755
2026-09-30,776
2026-10-31,814
2026-11-30,792
2026-12-31,826
2027-01-31,868
2027-02-28,790
2027-03-31,784
2027-04-30,833
2027-05-31,875
2027-06-30,782
2027-07-31,846
2027-08-31,759
2027-09-30,775
2027-10-31,826
2027-11-30,803
2027-12-31,838
2028-01-31,877
2028-02-29,805
2028-03-31,792
2028-04-30,841
2028-05-31,887
2028-06-30,794
2028-07-31,853
2028-08-31,764
2028-09-30,787
