Date,Predicted Sales
2024-01-31,669
2024-02-29,636
2024-03-31,649
2024-04-30,701
2024-05-31,815
2024-06-30,807
2024-07-31,839
2024-08-31,796
2024-09-30,859
2024-10-31,705
2024-11-30,750
2024-12-31,816
2025-01-31,727
2025-02-28,632
2025-03-31,705
2025-04-30,693
2025-05-31,827
2025-06-30,833
2025-07-31,843
2025-08-31,801
2025-09-30,849
2025-10-31,749
2025-11-30,816
2025-12-31,818
2026-01-31,736
2026-02-28,674
2026-03-31,711
2026-04-30,691
2026-05-31,882
2026-06-30,895
2026-07-31,885
2026-08-31,810
2026-09-30,890
2026-10-31,817
2026-11-30,766
2026-12-31,917
2027-01-31,769
2027-02-28,701
2027-03-31,741
2027-04-30,748
2027-05-31,897
2027-06-30,900
2027-07-31,913
2027-08-31,856
2027-09-30,924
2027-10-31,815
2027-11-30,835
2027-12-31,917
2028-01-31,800
2028-02-29,723
2028-03-31,776
2028-04-30,768
2028-05-31,918
2028-06-30,924
2028-07-31,933
2028-08-31,879
2028-09-30,938
