Date,Predicted Sales
2024-01-31,694
2024-02-29,634
2024-03-31,689
2024-04-30,680
2024-05-31,743
2024-06-30,665
2024-07-31,731
2024-08-31,672
2024-09-30,631
2024-10-31,703
2024-11-30,707
2024-12-31,762
2025-01-31,698
2025-02-28,656
2025-03-31,677
2025-04-30,683
2025-05-31,746
2025-06-30,664
2025-07-31,724
2025-08-31,669
2025-09-30,629
2025-10-31,701
2025-11-30,704
2025-12-31,761
2026-01-31,693
2026-02-28,651
2026-03-31,675
2026-04-30,680
2026-05-31,744
2026-06-30,658
2026-07-31,722
2026-08-31,664
2026-09-30,624
2026-10-31,693
2026-11-30,703
2026-12-31,762
2027-01-31,695
2027-02-28,654
2027-03-31,669
2027-04-30,674
2027-05-31,734
2027-06-30,660
2027-07-31,718
2027-08-31,664
2027-09-30,627
2027-10-31,700
2027-11-30,695
2027-12-31,755
2028-01-31,686
2028-02-29,651
2028-03-31,667
2028-04-30,673
2028-05-31,732
2028-06-30,654
2028-07-31,716
2028-08-31,662
2028-09-30,624
