Date,Predicted Sales
2024-01-31,648
2024-02-29,674
2024-03-31,743
2024-04-30,770
2024-05-31,631
2024-06-30,739
2024-07-31,784
2024-08-31,726
2024-09-30,667
2024-10-31,774
2024-11-30,714
2024-12-31,744
2025-01-31,789
2025-02-28,576
2025-03-31,779
2025-04-30,740
2025-05-31,667
2025-06-30,688
2025-07-31,743
2025-08-31,682
2025-09-30,673
2025-10-31,752
2025-11-30,787
2025-12-31,713
2026-01-31,744
2026-02-28,620
2026-03-31,790
2026-04-30,749
2026-05-31,693
2026-06-30,693
2026-07-31,714
2026-08-31,726
2026-09-30,711
2026-10-31,755
2026-11-30,707
2026-12-31,749
2027-01-31,693
2027-02-28,653
2027-03-31,773
2027-04-30,755
2027-05-31,673
2027-06-30,715
2027-07-31,739
2027-08-31,737
2027-09-30,705
2027-10-31,759
2027-11-30,674
2027-12-31,755
2028-01-31,704
2028-02-29,636
2028-03-31,768
2028-04-30,749
2028-05-31,661
2028-06-30,702
2028-07-31,736
2028-08-31,722
2028-09-30,680
