Date,Predicted Sales
2024-01-31,747
2024-02-29,703
2024-03-31,698
2024-04-30,642
2024-05-31,762
2024-06-30,797
2024-07-31,780
2024-08-31,764
2024-09-30,690
2024-10-31,784
2024-11-30,793
2024-12-31,766
2025-01-31,804
2025-02-28,736
2025-03-31,702
2025-04-30,638
2025-05-31,757
2025-06-30,805
2025-07-31,786
2025-08-31,726
2025-09-30,692
2025-10-31,828
2025-11-30,835
2025-12-31,737
2026-01-31,815
2026-02-28,745
2026-03-31,717
2026-04-30,658
2026-05-31,745
2026-06-30,805
2026-07-31,794
2026-08-31,735
2026-09-30,684
2026-10-31,802
2026-11-30,835
2026-12-31,756
2027-01-31,815
2027-02-28,750
2027-03-31,725
2027-04-30,662
2027-05-31,757
2027-06-30,801
2027-07-31,786
2027-08-31,741
2027-09-30,705
2027-10-31,800
2027-11-30,834
2027-12-31,768
2028-01-31,819
2028-02-29,755
2028-03-31,728
2028-04-30,661
2028-05-31,756
2028-06-30,806
2028-07-31,794
2028-08-31,742
2028-09-30,696
