Date,Predicted Sales
2024-01-31,710
2024-02-29,559
2024-03-31,738
2024-04-30,708
2024-05-31,751
2024-06-30,666
2024-07-31,706
2024-08-31,652
2024-09-30,599
2024-10-31,569
2024-11-30,727
2024-12-31,677
2025-01-31,680
2025-02-28,552
2025-03-31,751
2025-04-30,683
2025-05-31,706
2025-06-30,621
2025-07-31,692
2025-08-31,602
2025-09-30,563
2025-10-31,553
2025-11-30,677
2025-12-31,649
2026-01-31,644
2026-02-28,508
2026-03-31,697
2026-04-30,633
2026-05-31,697
2026-06-30,593
2026-07-31,654
2026-08-31,563
2026-09-30,520
2026-10-31,525
2026-11-30,636
2026-12-31,612
2027-01-31,597
2027-02-28,462
2027-03-31,645
2027-04-30,594
2027-05-31,651
2027-06-30,553
2027-07-31,611
2027-08-31,530
2027-09-30,493
2027-10-31,476
2027-11-30,604
2027-12-31,570
2028-01-31,564
2028-02-29,431
2028-03-31,613
2028-04-30,557
2028-05-31,620
2028-06-30,522
2028-07-31,579
2028-08-31,490
2028-09-30,453
