Date,Predicted Sales
2024-01-31,566
2024-02-29,512
2024-03-31,700
2024-04-30,737
2024-05-31,693
2024-06-30,602
2024-07-31,599
2024-08-31,701
2024-09-30,670
2024-10-31,662
2024-11-30,658
2024-12-31,633
2025-01-31,601
2025-02-28,591
2025-03-31,614
2025-04-30,676
2025-05-31,639
2025-06-30,607
2025-07-31,626
2025-08-31,685
2025-09-30,647
2025-10-31,639
2025-11-30,635
2025-12-31,657
2026-01-31,573
2026-02-28,551
2026-03-31,630
2026-04-30,690
2026-05-31,642
2026-06-30,586
2026-07-31,592
2026-08-31,677
2026-09-30,639
2026-10-31,634
2026-11-30,625
2026-12-31,633
2027-01-31,559
2027-02-28,531
2027-03-31,607
2027-04-30,671
2027-05-31,631
2027-06-30,581
2027-07-31,591
2027-08-31,662
2027-09-30,623
2027-10-31,618
2027-11-30,613
2027-12-31,615
2028-01-31,554
2028-02-29,548
2028-03-31,605
2028-04-30,660
2028-05-31,611
2028-06-30,569
2028-07-31,580
2028-08-31,652
2028-09-30,612
