Date,Predicted Sales
2024-01-31,626
2024-02-29,596
2024-03-31,606
2024-04-30,627
2024-05-31,614
2024-06-30,649
2024-07-31,608
2024-08-31,600
2024-09-30,616
2024-10-31,731
2024-11-30,604
2024-12-31,734
2025-01-31,613
2025-02-28,578
2025-03-31,609
2025-04-30,592
2025-05-31,570
2025-06-30,608
2025-07-31,552
2025-08-31,554
2025-09-30,564
2025-10-31,731
2025-11-30,566
2025-12-31,691
2026-01-31,585
2026-02-28,546
2026-03-31,567
2026-04-30,587
2026-05-31,572
2026-06-30,595
2026-07-31,526
2026-08-31,545
2026-09-30,524
2026-10-31,705
2026-11-30,547
2026-12-31,690
2027-01-31,560
2027-02-28,523
2027-03-31,546
2027-04-30,557
2027-05-31,540
2027-06-30,572
2027-07-31,514
2027-08-31,525
2027-09-30,521
2027-10-31,676
2027-11-30,525
2027-12-31,658
2028-01-31,540
2028-02-29,502
2028-03-31,525
2028-04-30,533
2028-05-31,515
2028-06-30,546
2028-07-31,486
2028-08-31,499
2028-09-30,491
