Date,Predicted Sales
2024-01-31,798
2024-02-29,646
2024-03-31,687
2024-04-30,727
2024-05-31,777
2024-06-30,781
2024-07-31,769
2024-08-31,741
2024-09-30,776
2024-10-31,741
2024-11-30,695
2024-12-31,747
2025-01-31,748
2025-02-28,661
2025-03-31,697
2025-04-30,746
2025-05-31,767
2025-06-30,785
2025-07-31,771
2025-08-31,767
2025-09-30,783
2025-10-31,737
2025-11-30,699
2025-12-31,765
2026-01-31,759
2026-02-28,667
2026-03-31,691
2026-04-30,738
2026-05-31,766
2026-06-30,802
2026-07-31,778
2026-08-31,767
2026-09-30,787
2026-10-31,744
2026-11-30,706
2026-12-31,766
2027-01-31,760
2027-02-28,665
2027-03-31,694
2027-04-30,748
2027-05-31,768
2027-06-30,784
2027-07-31,778
2027-08-31,768
2027-09-30,799
2027-10-31,749
2027-11-30,707
2027-12-31,762
2028-01-31,751
2028-02-29,674
2028-03-31,697
2028-04-30,749
2028-05-31,773
2028-06-30,806
2028-07-31,783
2028-08-31,775
2028-09-30,795
