Date,Predicted Sales
2024-01-31,731
2024-02-29,569
2024-03-31,722
2024-04-30,602
2024-05-31,707
2024-06-30,582
2024-07-31,629
2024-08-31,598
2024-09-30,611
2024-10-31,732
2024-11-30,651
2024-12-31,655
2025-01-31,689
2025-02-28,556
2025-03-31,703
2025-04-30,605
2025-05-31,703
2025-06-30,560
2025-07-31,594
2025-08-31,594
2025-09-30,596
2025-10-31,723
2025-11-30,643
2025-12-31,640
2026-01-31,675
2026-02-28,541
2026-03-31,692
2026-04-30,593
2026-05-31,683
2026-06-30,552
2026-07-31,587
2026-08-31,583
2026-09-30,587
2026-10-31,709
2026-11-30,632
2026-12-31,631
2027-01-31,662
2027-02-28,535
2027-03-31,676
2027-04-30,579
2027-05-31,669
2027-06-30,537
2027-07-31,575
2027-08-31,572
2027-09-30,573
2027-10-31,691
2027-11-30,621
2027-12-31,615
2028-01-31,653
2028-02-29,513
2028-03-31,671
2028-04-30,565
2028-05-31,653
2028-06-30,524
2028-07-31,561
2028-08-31,562
2028-09-30,560
