Date,Predicted Sales
2024-01-31,831
2024-02-29,750
2024-03-31,887
2024-04-30,805
2024-05-31,736
2024-06-30,758
2024-07-31,847
2024-08-31,780
2024-09-30,825
2024-10-31,834
2024-11-30,815
2024-12-31,842
2025-01-31,848
2025-02-28,752
2025-03-31,906
2025-04-30,833
2025-05-31,760
2025-06-30,776
2025-07-31,877
2025-08-31,805
2025-09-30,842
2025-10-31,851
2025-11-30,840
2025-12-31,863
2026-01-31,873
2026-02-28,779
2026-03-31,921
2026-04-30,850
2026-05-31,785
2026-06-30,783
2026-07-31,887
2026-08-31,822
2026-09-30,861
2026-10-31,872
2026-11-30,861
2026-12-31,883
2027-01-31,895
2027-02-28,799
2027-03-31,938
2027-04-30,876
2027-05-31,803
2027-06-30,811
2027-07-31,909
2027-08-31,842
2027-09-30,876
2027-10-31,894
2027-11-30,874
2027-12-31,895
2028-01-31,910
2028-02-29,817
2028-03-31,962
2028-04-30,884
2028-05-31,824
2028-06-30,830
2028-07-31,927
2028-08-31,860
2028-09-30,904
