Date,Predicted Sales
2024-01-31,727
2024-02-29,580
2024-03-31,746
2024-04-30,713
2024-05-31,723
2024-06-30,736
2024-07-31,802
2024-08-31,729
2024-09-30,714
2024-10-31,738
2024-11-30,741
2024-12-31,783
2025-01-31,737
2025-02-28,612
2025-03-31,787
2025-04-30,688
2025-05-31,720
2025-06-30,743
2025-07-31,814
2025-08-31,736
2025-09-30,728
2025-10-31,746
2025-11-30,729
2025-12-31,772
2026-01-31,744
2026-02-28,604
2026-03-31,771
2026-04-30,699
2026-05-31,726
2026-06-30,738
2026-07-31,812
2026-08-31,739
2026-09-30,729
2026-10-31,749
2026-11-30,753
2026-12-31,788
2027-01-31,739
2027-02-28,608
2027-03-31,775
2027-04-30,696
2027-05-31,723
2027-06-30,737
2027-07-31,812
2027-08-31,736
2027-09-30,732
2027-10-31,747
2027-11-30,719
2027-12-31,774
2028-01-31,748
2028-02-29,616
2028-03-31,774
2028-04-30,701
2028-05-31,721
2028-06-30,735
2028-07-31,813
2028-08-31,739
2028-09-30,731
