Date,Predicted Sales
2024-01-31,813
2024-02-29,855
2024-03-31,842
2024-04-30,907
2024-05-31,830
2024-06-30,816
2024-07-31,894
2024-08-31,914
2024-09-30,820
2024-10-31,844
2024-11-30,906
2024-12-31,811
2025-01-31,835
2025-02-28,802
2025-03-31,817
2025-04-30,892
2025-05-31,849
2025-06-30,795
2025-07-31,878
2025-08-31,940
2025-09-30,854
2025-10-31,847
2025-11-30,872
2025-12-31,847
2026-01-31,870
2026-02-28,807
2026-03-31,836
2026-04-30,872
2026-05-31,850
2026-06-30,788
2026-07-31,874
2026-08-31,937
2026-09-30,856
2026-10-31,859
2026-11-30,904
2026-12-31,853
2027-01-31,869
2027-02-28,823
2027-03-31,844
2027-04-30,891
2027-05-31,848
2027-06-30,780
2027-07-31,878
2027-08-31,939
2027-09-30,855
2027-10-31,851
2027-11-30,907
2027-12-31,851
2028-01-31,870
2028-02-29,824
2028-03-31,850
2028-04-30,897
2028-05-31,859
2028-06-30,800
2028-07-31,886
2028-08-31,947
2028-09-30,867
