Date,Predicted Sales
2024-01-31,676
2024-02-29,665
2024-03-31,784
2024-04-30,688
2024-05-31,572
2024-06-30,653
2024-07-31,785
2024-08-31,821
2024-09-30,695
2024-10-31,741
2024-11-30,663
2024-12-31,685
2025-01-31,666
2025-02-28,674
2025-03-31,833
2025-04-30,671
2025-05-31,597
2025-06-30,692
2025-07-31,821
2025-08-31,782
2025-09-30,730
2025-10-31,753
2025-11-30,694
2025-12-31,652
2026-01-31,708
2026-02-28,688
2026-03-31,818
2026-04-30,651
2026-05-31,576
2026-06-30,650
2026-07-31,838
2026-08-31,800
2026-09-30,704
2026-10-31,733
2026-11-30,686
2026-12-31,678
2027-01-31,703
2027-02-28,692
2027-03-31,821
2027-04-30,662
2027-05-31,595
2027-06-30,657
2027-07-31,824
2027-08-31,799
2027-09-30,718
2027-10-31,747
2027-11-30,684
2027-12-31,672
2028-01-31,707
2028-02-29,692
2028-03-31,823
2028-04-30,651
2028-05-31,592
2028-06-30,673
2028-07-31,833
2028-08-31,794
2028-09-30,714
