Date,Predicted Sales
2024-01-31,789
2024-02-29,661
2024-03-31,757
2024-04-30,753
2024-05-31,765
2024-06-30,656
2024-07-31,735
2024-08-31,721
2024-09-30,739
2024-10-31,762
2024-11-30,698
2024-12-31,744
2025-01-31,753
2025-02-28,634
2025-03-31,771
2025-04-30,744
2025-05-31,759
2025-06-30,657
2025-07-31,731
2025-08-31,721
2025-09-30,736
2025-10-31,754
2025-11-30,709
2025-12-31,751
2026-01-31,764
2026-02-28,637
2026-03-31,772
2026-04-30,748
2026-05-31,756
2026-06-30,662
2026-07-31,754
2026-08-31,732
2026-09-30,736
2026-10-31,754
2026-11-30,704
2026-12-31,744
2027-01-31,756
2027-02-28,643
2027-03-31,776
2027-04-30,754
2027-05-31,768
2027-06-30,670
2027-07-31,742
2027-08-31,737
2027-09-30,747
2027-10-31,762
2027-11-30,726
2027-12-31,750
2028-01-31,758
2028-02-29,636
2028-03-31,773
2028-04-30,743
2028-05-31,767
2028-06-30,672
2028-07-31,746
2028-08-31,726
2028-09-30,745
