Date,Predicted Sales
2024-01-31,641
2024-02-29,624
2024-03-31,725
2024-04-30,758
2024-05-31,604
2024-06-30,678
2024-07-31,611
2024-08-31,729
2024-09-30,688
2024-10-31,603
2024-11-30,598
2024-12-31,685
2025-01-31,656
2025-02-28,592
2025-03-31,699
2025-04-30,657
2025-05-31,541
2025-06-30,619
2025-07-31,680
2025-08-31,731
2025-09-30,664
2025-10-31,627
2025-11-30,618
2025-12-31,711
2026-01-31,632
2026-02-28,578
2026-03-31,709
2026-04-30,720
2026-05-31,513
2026-06-30,622
2026-07-31,574
2026-08-31,701
2026-09-30,627
2026-10-31,577
2026-11-30,607
2026-12-31,697
2027-01-31,607
2027-02-28,554
2027-03-31,675
2027-04-30,668
2027-05-31,497
2027-06-30,594
2027-07-31,548
2027-08-31,666
2027-09-30,595
2027-10-31,544
2027-11-30,554
2027-12-31,641
2028-01-31,574
2028-02-29,515
2028-03-31,633
2028-04-30,645
2028-05-31,472
2028-06-30,570
2028-07-31,568
2028-08-31,649
2028-09-30,571
