Date,Predicted Sales
2024-01-31,783
2024-02-29,739
2024-03-31,710
2024-04-30,767
2024-05-31,692
2024-06-30,720
2024-07-31,757
2024-08-31,769
2024-09-30,757
2024-10-31,738
2024-11-30,761
2024-12-31,772
2025-01-31,810
2025-02-28,727
2025-03-31,724
2025-04-30,765
2025-05-31,697
2025-06-30,724
2025-07-31,773
2025-08-31,780
2025-09-30,766
2025-10-31,736
2025-11-30,758
2025-12-31,771
2026-01-31,827
2026-02-28,726
2026-03-31,733
2026-04-30,774
2026-05-31,701
2026-06-30,739
2026-07-31,777
2026-08-31,782
2026-09-30,774
2026-10-31,740
2026-11-30,760
2026-12-31,780
2027-01-31,835
2027-02-28,738
2027-03-31,736
2027-04-30,780
2027-05-31,716
2027-06-30,748
2027-07-31,784
2027-08-31,795
2027-09-30,779
2027-10-31,747
2027-11-30,770
2027-12-31,787
2028-01-31,835
2028-02-29,748
2028-03-31,751
2028-04-30,793
2028-05-31,724
2028-06-30,744
2028-07-31,785
2028-08-31,795
2028-09-30,790
