Date,Predicted Sales
2024-01-31,804
2024-02-29,643
2024-03-31,701
2024-04-30,680
2024-05-31,628
2024-06-30,662
2024-07-31,775
2024-08-31,689
2024-09-30,659
2024-10-31,713
2024-11-30,598
2024-12-31,645
2025-01-31,777
2025-02-28,622
2025-03-31,674
2025-04-30,640
2025-05-31,640
2025-06-30,692
2025-07-31,748
2025-08-31,686
2025-09-30,657
2025-10-31,700
2025-11-30,604
2025-12-31,651
2026-01-31,768
2026-02-28,614
2026-03-31,667
2026-04-30,639
2026-05-31,641
2026-06-30,682
2026-07-31,744
2026-08-31,673
2026-09-30,642
2026-10-31,695
2026-11-30,607
2026-12-31,644
2027-01-31,763
2027-02-28,610
2027-03-31,663
2027-04-30,628
2027-05-31,621
2027-06-30,664
2027-07-31,738
2027-08-31,668
2027-09-30,644
2027-10-31,684
2027-11-30,594
2027-12-31,645
2028-01-31,759
2028-02-29,605
2028-03-31,657
2028-04-30,622
2028-05-31,622
2028-06-30,675
2028-07-31,733
2028-08-31,662
2028-09-30,630
