Date,Predicted Sales
2024-01-31,783
2024-02-29,638
2024-03-31,713
2024-04-30,703
2024-05-31,605
2024-06-30,724
2024-07-31,754
2024-08-31,737
2024-09-30,677
2024-10-31,705
2024-11-30,673
2024-12-31,741
2025-01-31,774
2025-02-28,591
2025-03-31,698
2025-04-30,739
2025-05-31,571
2025-06-30,693
2025-07-31,745
2025-08-31,709
2025-09-30,687
2025-10-31,728
2025-11-30,607
2025-12-31,672
2026-01-31,787
2026-02-28,571
2026-03-31,667
2026-04-30,707
2026-05-31,546
2026-06-30,676
2026-07-31,719
2026-08-31,651
2026-09-30,644
2026-10-31,722
2026-11-30,594
2026-12-31,650
2027-01-31,745
2027-02-28,554
2027-03-31,647
2027-04-30,672
2027-05-31,517
2027-06-30,651
2027-07-31,696
2027-08-31,659
2027-09-30,623
2027-10-31,675
2027-11-30,577
2027-12-31,641
2028-01-31,723
2028-02-29,531
2028-03-31,630
2028-04-30,662
2028-05-31,504
2028-06-30,632
2028-07-31,673
2028-08-31,633
2028-09-30,609
