Date,Predicted Sales
2024-01-31,869
2024-02-29,876
2024-03-31,837
2024-04-30,727
2024-05-31,745
2024-06-30,755
2024-07-31,965
2024-08-31,719
2024-09-30,843
2024-10-31,845
2024-11-30,825
2024-12-31,786
2025-01-31,952
2025-02-28,843
2025-03-31,754
2025-04-30,721
2025-05-31,855
2025-06-30,791
2025-07-31,948
2025-08-31,758
2025-09-30,856
2025-10-31,927
2025-11-30,882
2025-12-31,845
2026-01-31,971
2026-02-28,924
2026-03-31,870
2026-04-30,781
2026-05-31,857
2026-06-30,838
2026-07-31,1024
2026-08-31,794
2026-09-30,910
2026-10-31,951
2026-11-30,917
2026-12-31,885
2027-01-31,1028
2027-02-28,953
2027-03-31,855
2027-04-30,800
2027-05-31,928
2027-06-30,883
2027-07-31,1054
2027-08-31,855
2027-09-30,949
2027-10-31,1009
2027-11-30,971
2027-12-31,942
2028-01-31,1072
2028-02-29,1004
2028-03-31,927
2028-04-30,866
2028-05-31,960
2028-06-30,932
2028-07-31,1113
2028-08-31,899
2028-09-30,1001
