Date,Predicted Sales
2024-01-31,740
2024-02-29,661
2024-03-31,728
2024-04-30,757
2024-05-31,895
2024-06-30,823
2024-07-31,773
2024-08-31,782
2024-09-30,770
2024-10-31,797
2024-11-30,828
2024-12-31,763
2025-01-31,784
2025-02-28,701
2025-03-31,830
2025-04-30,758
2025-05-31,784
2025-06-30,788
2025-07-31,874
2025-08-31,802
2025-09-30,772
2025-10-31,778
2025-11-30,845
2025-12-31,874
2026-01-31,844
2026-02-28,699
2026-03-31,802
2026-04-30,806
2026-05-31,837
2026-06-30,822
2026-07-31,870
2026-08-31,819
2026-09-30,802
2026-10-31,839
2026-11-30,867
2026-12-31,926
2027-01-31,849
2027-02-28,755
2027-03-31,856
2027-04-30,831
2027-05-31,904
2027-06-30,880
2027-07-31,899
2027-08-31,869
2027-09-30,843
2027-10-31,863
2027-11-30,913
2027-12-31,921
2028-01-31,896
2028-02-29,782
2028-03-31,894
2028-04-30,869
2028-05-31,916
2028-06-30,898
2028-07-31,940
2028-08-31,895
2028-09-30,870
