Date,Predicted Sales
2024-01-31,823
2024-02-29,605
2024-03-31,815
2024-04-30,733
2024-05-31,736
2024-06-30,628
2024-07-31,720
2024-08-31,616
2024-09-30,658
2024-10-31,712
2024-11-30,655
2024-12-31,665
2025-01-31,809
2025-02-28,658
2025-03-31,808
2025-04-30,738
2025-05-31,805
2025-06-30,677
2025-07-31,742
2025-08-31,619
2025-09-30,785
2025-10-31,755
2025-11-30,655
2025-12-31,613
2026-01-31,786
2026-02-28,635
2026-03-31,823
2026-04-30,741
2026-05-31,731
2026-06-30,631
2026-07-31,735
2026-08-31,607
2026-09-30,742
2026-10-31,725
2026-11-30,677
2026-12-31,609
2027-01-31,798
2027-02-28,616
2027-03-31,810
2027-04-30,715
2027-05-31,749
2027-06-30,632
2027-07-31,719
2027-08-31,600
2027-09-30,722
2027-10-31,728
2027-11-30,654
2027-12-31,624
2028-01-31,789
2028-02-29,626
2028-03-31,817
2028-04-30,729
2028-05-31,761
2028-06-30,639
2028-07-31,731
2028-08-31,601
2028-09-30,753
