Date,Predicted Sales
2024-01-31,752
2024-02-29,591
2024-03-31,642
2024-04-30,627
2024-05-31,666
2024-06-30,630
2024-07-31,602
2024-08-31,683
2024-09-30,624
2024-10-31,627
2024-11-30,646
2024-12-31,630
2025-01-31,704
2025-02-28,551
2025-03-31,676
2025-04-30,648
2025-05-31,651
2025-06-30,607
2025-07-31,608
2025-08-31,678
2025-09-30,608
2025-10-31,614
2025-11-30,648
2025-12-31,624
2026-01-31,699
2026-02-28,540
2026-03-31,661
2026-04-30,641
2026-05-31,635
2026-06-30,604
2026-07-31,604
2026-08-31,665
2026-09-30,606
2026-10-31,616
2026-11-30,641
2026-12-31,602
2027-01-31,696
2027-02-28,538
2027-03-31,639
2027-04-30,625
2027-05-31,648
2027-06-30,598
2027-07-31,589
2027-08-31,660
2027-09-30,600
2027-10-31,608
2027-11-30,628
2027-12-31,606
2028-01-31,688
2028-02-29,524
2028-03-31,641
2028-04-30,618
2028-05-31,635
2028-06-30,586
2028-07-31,586
2028-08-31,654
2028-09-30,592
