Date,Predicted Sales
2024-01-31,682
2024-02-29,739
2024-03-31,901
2024-04-30,668
2024-05-31,810
2024-06-30,741
2024-07-31,793
2024-08-31,726
2024-09-30,935
2024-10-31,816
2024-11-30,690
2024-12-31,796
2025-01-31,764
2025-02-28,751
2025-03-31,829
2025-04-30,748
2025-05-31,946
2025-06-30,831
2025-07-31,759
2025-08-31,800
2025-09-30,826
2025-10-31,791
2025-11-30,777
2025-12-31,712
2026-01-31,795
2026-02-28,784
2026-03-31,976
2026-04-30,778
2026-05-31,965
2026-06-30,868
2026-07-31,773
2026-08-31,680
2026-09-30,855
2026-10-31,881
2026-11-30,837
2026-12-31,815
2027-01-31,786
2027-02-28,810
2027-03-31,956
2027-04-30,771
2027-05-31,936
2027-06-30,852
2027-07-31,845
2027-08-31,791
2027-09-30,962
2027-10-31,885
2027-11-30,802
2027-12-31,839
2028-01-31,839
2028-02-29,832
2028-03-31,947
2028-04-30,827
2028-05-31,1021
2028-06-30,909
2028-07-31,840
2028-08-31,828
2028-09-30,920
