Date,Predicted Sales
2024-01-31,596
2024-02-29,653
2024-03-31,768
2024-04-30,691
2024-05-31,742
2024-06-30,642
2024-07-31,621
2024-08-31,638
2024-09-30,689
2024-10-31,627
2024-11-30,746
2024-12-31,724
2025-01-31,588
2025-02-28,692
2025-03-31,802
2025-04-30,686
2025-05-31,705
2025-06-30,647
2025-07-31,641
2025-08-31,636
2025-09-30,705
2025-10-31,578
2025-11-30,773
2025-12-31,673
2026-01-31,606
2026-02-28,691
2026-03-31,768
2026-04-30,670
2026-05-31,685
2026-06-30,618
2026-07-31,628
2026-08-31,599
2026-09-30,693
2026-10-31,592
2026-11-30,783
2026-12-31,657
2027-01-31,577
2027-02-28,657
2027-03-31,763
2027-04-30,666
2027-05-31,695
2027-06-30,613
2027-07-31,615
2027-08-31,605
2027-09-30,679
2027-10-31,580
2027-11-30,748
2027-12-31,671
2028-01-31,574
2028-02-29,662
2028-03-31,759
2028-04-30,655
2028-05-31,673
2028-06-30,607
2028-07-31,611
2028-08-31,590
2028-09-30,676
