Date,Predicted Sales
2024-01-31,798
2024-02-29,702
2024-03-31,820
2024-04-30,772
2024-05-31,756
2024-06-30,714
2024-07-31,817
2024-08-31,773
2024-09-30,763
2024-10-31,686
2024-11-30,775
2024-12-31,848
2025-01-31,862
2025-02-28,693
2025-03-31,853
2025-04-30,760
2025-05-31,734
2025-06-30,724
2025-07-31,863
2025-08-31,803
2025-09-30,792
2025-10-31,739
2025-11-30,813
2025-12-31,870
2026-01-31,877
2026-02-28,711
2026-03-31,875
2026-04-30,802
2026-05-31,774
2026-06-30,755
2026-07-31,896
2026-08-31,840
2026-09-30,815
2026-10-31,741
2026-11-30,842
2026-12-31,896
2027-01-31,903
2027-02-28,755
2027-03-31,901
2027-04-30,822
2027-05-31,799
2027-06-30,790
2027-07-31,916
2027-08-31,856
2027-09-30,833
2027-10-31,765
2027-11-30,862
2027-12-31,918
2028-01-31,926
2028-02-29,775
2028-03-31,926
2028-04-30,842
2028-05-31,819
2028-06-30,809
2028-07-31,941
2028-08-31,878
2028-09-30,853
